Topic,TrecID,UUID,target_hostname,Score
What is the difference between sex and love?,clueweb12-0712wb-69-18913,f8d7db4a-fe7c-5460-a74a-7addd312eafd,jesusteaching.swami-center.org,1552.283
What is the difference between sex and love?,clueweb12-0112wb-41-03882,77b03eb9-7d1c-5559-aab7-32101b418085,www.irsc.ca,1541.9591
What is the difference between sex and love?,clueweb12-0103wb-30-32826,67c96f5a-89c7-5513-b9c0-43f3cf2f4e6a,www.cihr-irsc.gc.ca,1541.7133
What is the difference between sex and love?,clueweb12-0104wb-11-31676,9411d9ca-8e7a-5013-ae8e-733d3f9277a5,www.cihr.gc.ca,1541.3348
What is the difference between sex and love?,clueweb12-0105wb-50-17948,f22f9b81-d12b-5a3a-a4a7-78a1125a3b75,www.cihr.ca,1540.7422
What is the difference between sex and love?,clueweb12-0201wb-90-06213,92891857-80c5-5828-8e4b-56ca589b370a,www.irsc-cihr.gc.ca,1540.5138
What is the difference between sex and love?,clueweb12-0110wb-83-26680,d9a6dfa5-1b46-59e2-92d2-1740c49c5343,www.irsc.gc.ca,1540.2225
What is the difference between sex and love?,clueweb12-1605wb-76-09417,3aa3ebd1-bbe1-5ec0-968a-d226d74268dc,www.wechange.org,1526.2968
What is the difference between sex and love?,clueweb12-1410wb-94-00957,1b711fb4-600e-5905-8eac-dd80967e9c83,elevatedifference.com,1525.7739
What is the difference between sex and love?,clueweb12-0013wb-07-11266,34867a26-9eef-56a9-9298-b64da9e9335d,wayoflife.org,1522.3751
What is the difference between sex and love?,clueweb12-0402wb-67-10644,079ec4ed-ad9c-50f5-af3e-a33223f30c0f,wayoflife.org,1521.9042
What is the difference between sex and love?,clueweb12-1118wb-63-02482,92ac373a-10d6-5ec9-ace8-0e510df8e3c5,theangryblackwoman.com,1517.2745
What is the difference between sex and love?,clueweb12-0300wb-03-04724,5a17bbb9-24a6-5e73-b7db-04af4da8f181,www.sextherapyinphiladelphia.com,1505.8553
What is the difference between sex and love?,clueweb12-1102wb-22-04528,637f78c9-6198-5e67-90d8-3745bbd446bc,www.catmom.com,1502.5159
What is the difference between sex and love?,clueweb12-1013wb-05-07809,99b0bffe-203e-5eb5-b9b6-f2124961cb05,www.thelighthouseonline.com,1501.3365
What is the difference between sex and love?,clueweb12-0105wb-48-00582,edc55bbd-124e-542f-9dda-930e16c09668,www.everystudent.com,1498.6752
What is the difference between sex and love?,clueweb12-1902wb-48-03545,af593fc5-aee4-52b5-8429-543857b45641,www.oregoncounseling.org,1494.9023
What is the difference between sex and love?,clueweb12-1202wb-71-05144,7a4eb555-6be1-5792-9e12-a021390b9308,dreamsinstatic.deviantart.com,1494.1768
What is the difference between sex and love?,clueweb12-0001wb-99-12875,70eb9469-f98a-51a3-b515-22212338343c,kspope.com,1493.6151
What is the difference between sex and love?,clueweb12-0001wb-99-12873,cf1765f8-d10d-582a-9d62-929ef90a5e43,kspope.com,1384.8472
What is the difference between sex and love?,clueweb12-0505wb-11-20756,bbca72ef-dfb5-54d5-bbc3-8f2f8414cb26,www.kspope.com,1492.7542
What is the difference between sex and love?,clueweb12-0505wb-11-20754,0ffedcaa-13cb-5acc-8e48-542d8504277b,www.kspope.com,1383.3284
What is the difference between sex and love?,clueweb12-1100tw-66-03324,3322930d-5c4c-5ed6-a69d-c426f3c3e6cf,www.catholicherald.co.uk,1487.3687
What is the difference between sex and love?,clueweb12-0102wb-11-16606,d4ce3957-31ac-5489-8597-8627d8e15963,www.atflutes.com,1457.8685
What is the difference between sex and love?,clueweb12-1005wb-18-32038,8fabd9a3-c455-52e0-997a-a42cc637de58,www.islamhelpline.com,1457.8574
What is the difference between sex and love?,clueweb12-1009wb-05-12050,72424945-66f5-5312-a5a3-802381db238c,www.islamhelpline.com,1371.7094
What is the difference between sex and love?,clueweb12-0817wb-54-03294,9da5ae4d-ddf5-5860-ba75-f658c765e0e0,answers.monster.com,1456.0315
What is the difference between sex and love?,clueweb12-0403wb-10-14620,1755c1d5-d4d6-5316-93b6-c756226dba8d,leaderu.com,1453.566
What is the difference between sex and love?,clueweb12-1611wb-41-22929,165b4def-e820-5c88-b4b1-9a6d66f00fb5,freedomandgrace.com,1453.42
What is the difference between sex and love?,clueweb12-0003wb-56-29214,0130d2db-8332-53f1-abd5-08c60e12aba8,blabberjesus.aforumfree.com,1436.086
What is the difference between sex and love?,clueweb12-0200tw-11-05614,bba6e4ef-dabe-5dc2-b2a7-459976fe6de0,www.josh.org,1435.7761
What is the difference between sex and love?,clueweb12-0204wb-95-23614,d6ea2224-7481-5e81-a289-967b4e85e501,www.josh.org,1397.9678
What is the difference between sex and love?,clueweb12-0805wb-37-03723,ba47bbfa-e83b-58d5-9898-fd05cf2d8e82,divorcesupport.about.com,1435.6716
What is the difference between sex and love?,clueweb12-0818wb-84-01163,d2e4bbd8-2255-5e97-89e8-1b91e5529d59,www.rationaloptimist.net,1432.1814
What is the difference between sex and love?,clueweb12-0817wb-92-20483,923f65ce-ff3a-5fb9-a8b7-d5c6e5813dd1,www.rationaloptimist.com,1430.7478
What is the difference between sex and love?,clueweb12-0210wb-84-18519,64a78f4e-992a-53d2-9c33-be1b7c3f0378,www.thespiritofislam.com,1418.8483
What is the difference between sex and love?,clueweb12-0815wb-28-26041,e1daaaf8-ffa3-52b2-803e-37d2ac7bcb30,www.mindmotivations.com,1412.6473
What is the difference between sex and love?,clueweb12-0302wb-26-09465,d401241b-28d7-5622-a347-6a7e08225071,www.themennonite.org,1412.2642
What is the difference between sex and love?,clueweb12-0712wb-73-11731,4659c7d8-042d-5ca6-a000-070d5ec1f2f5,amyfabulous.com,1411.2499
What is the difference between sex and love?,clueweb12-0701wb-90-17056,e115dd66-5355-59b4-b604-8e348c5d201c,www.selfhelpmagazine.com,1402.9292
What is the difference between sex and love?,clueweb12-0706wb-92-20025,0adf31b9-7488-5f13-b9ef-173b4486602b,www.womens-homepage.com,1402.0853
What is the difference between sex and love?,clueweb12-0705wb-26-11543,0af677eb-65d4-57dc-aa0a-64965d020e76,www.urbanswirl.com,1390.0679
What is the difference between sex and love?,clueweb12-0103wb-13-28425,92037809-85a0-5ef2-9461-a685bed26937,www.byreferralonly.com,1387.236
What is the difference between sex and love?,clueweb12-1900tw-15-00665,688a22ce-e76f-5b0e-8cd1-754759372f2f,dbartosik.com,1386.2952
What is the difference between sex and love?,clueweb12-0200tw-90-10134,dd2904bc-485f-5bda-986a-8994ecb0cd1a,www.helium.com,1385.1758
What is the difference between sex and love?,clueweb12-0202wb-86-01741,3f13aecb-e4eb-56b7-bdfb-c780412d9275,www.mormonfundamentalism.com,1382.9734
What is the difference between sex and love?,clueweb12-0400tw-09-11524,3bffd6ae-a9e9-515a-bb20-986169099c49,pecangroup.org,1382.1185
What is the difference between sex and love?,clueweb12-0107wb-45-29986,f67cb2cb-fefb-52f1-a5b0-29ecf8c67ee1,www.convictcreations.com,1381.7169
What is the difference between sex and love?,clueweb12-0411wb-57-09864,26b5d142-6b8b-5c2c-8e44-95f6ee48eaf4,www.firstwivesworld.com,1374.9045
What is the difference between sex and love?,clueweb12-0009wb-80-00950,8e34315b-1ec7-5ae1-8afa-54762e42cb2f,firstwivesworld.com,1374.8225
What is the difference between sex and love?,clueweb12-0209wb-41-25764,bc1bf901-ca4c-542b-ab02-ca0a3631735c,www.naturalnavigator.com,1369.9828
What is the difference between sex and love?,clueweb12-1500tw-01-01372,87087b12-2548-57d7-8b99-15fca810c32c,www.honestcollege.com,1365.2253
What is the difference between sex and love?,clueweb12-1400wb-84-23500,e531b578-4277-5079-8555-59d1d070a7c2,tomchatfield.net,1364.2703
What is the difference between sex and love?,clueweb12-1400wb-84-23501,f212bcca-c4d5-52ff-8772-684147ec52d8,tomchatfield.net,1363.5326
What is the difference between sex and love?,clueweb12-1400wb-88-02386,59d00d5b-af33-527d-bc69-43010a1833dc,tomchatfield.net,1362.6598
What is the difference between sex and love?,clueweb12-1400wb-12-21415,2c15180d-bb84-5605-b515-945bc37820cf,tomchatfield.net,1362.4059
What is the difference between sex and love?,clueweb12-1400wb-76-10093,3f07ba4c-ed30-5419-b0bd-2e824aab606a,tomchatfield.net,1361.4487
What is the difference between sex and love?,clueweb12-1308wb-81-04570,f18f612b-cb8f-53c8-a756-bb1fe19575f6,www.parship.ie,1361.7826
What is the difference between sex and love?,clueweb12-0003wb-34-35303,05bd3260-ede8-5ac1-bf2b-034a621ab9dc,mountainrunner.us,1360.6694
What is the difference between sex and love?,clueweb12-0406wb-58-08558,4abb0608-7bce-5b97-a558-96fe141c9508,www.barbarabrennan.com,1358.9696
What is the difference between sex and love?,clueweb12-0910wb-73-21732,7f77a1eb-07cc-5b6b-ac2e-a56d44cc618e,ssl207.chi.us.securedata.net,1358.6252
What is the difference between sex and love?,clueweb12-0911wb-83-00132,66ee0699-6e7f-5672-9001-c948e6743b78,ssl207.chi.us.securedata.net,1357.995
What is the difference between sex and love?,clueweb12-0001wb-37-29992,3243a1f3-e1f2-54d3-9625-918b09b33b40,barbarabrennan.com,1358.0684
What is the difference between sex and love?,clueweb12-0800tw-89-09913,4c89bcbb-f0e4-5703-9e7f-c931ad654631,franklove.net,1357.7085
What is the difference between sex and love?,clueweb12-0709wb-00-16290,60d5c983-a564-5d82-bf90-34c359d69968,life.bitchbuzz.com,1355.062
"Which is better, a laptop or a desktop?",clueweb12-0505wb-78-06026,fb403582-86a4-5be5-b460-01c8965f5aa5,www.cpointcc.com,2197.1284
"Which is better, a laptop or a desktop?",clueweb12-1714wb-90-02429,d927d174-f8b5-58e7-a468-1f8ddef97e72,www.aiuniv.edu,2127.2913
"Which is better, a laptop or a desktop?",clueweb12-1412wb-03-18627,21aa1605-2163-540e-86fc-554dde134478,www.askcomputerexperts.com,2047.8572
"Which is better, a laptop or a desktop?",clueweb12-1516wb-62-16691,bc13e394-95b9-5929-a790-e2b1b3ce7867,www.barton.cc.ks.us,2041.0424
"Which is better, a laptop or a desktop?",clueweb12-0401wb-86-26269,0c12a1ef-6b68-529c-a878-73895c92e204,www.bartonccc.edu,2039.9296
"Which is better, a laptop or a desktop?",clueweb12-0001wb-84-26550,9b37d31f-8150-5797-9fae-89c2d9ba4c14,collegelife.about.com,1970.04
"Which is better, a laptop or a desktop?",clueweb12-0306wb-77-05626,591619da-3135-597e-80d8-debf33f5daba,h71036.www7.hp.com,1861.0436
"Which is better, a laptop or a desktop?",clueweb12-0109wb-23-31617,dce38919-f4da-53db-a89e-30ce85c1f241,www.collegeglobe.com,1752.1
"Which is better, a laptop or a desktop?",clueweb12-0109wb-28-26419,4dca4710-5803-5f9e-855f-185faf2ea408,www.collegeglobe.com,1751.114
"Which is better, a laptop or a desktop?",clueweb12-0205wb-01-05763,50f72828-adb2-5873-8963-86156c011ff9,www.pcworld.com,1748.5516
"Which is better, a laptop or a desktop?",clueweb12-0700tw-48-02518,8f6b0a20-18b7-5a3b-a762-e4bebb953554,www.pcworld.com,1592.4023
"Which is better, a laptop or a desktop?",clueweb12-1500tw-36-10031,526a7fb0-e256-548a-a0cb-28349215c9f5,www.pcworld.com,1242.3389
"Which is better, a laptop or a desktop?",clueweb12-1313wb-37-07544,89b5f1ea-e522-5946-817e-94f1d4031df5,www.mycollegesandcareers.com,1724.7817
"Which is better, a laptop or a desktop?",clueweb12-0608wb-66-03868,ffe6723a-7ac0-53a3-b0ca-5d304c954a6b,www.whatthetech.com,1710.3556
"Which is better, a laptop or a desktop?",clueweb12-1201wb-97-16663,35e0c677-d514-55ca-9c1c-62ab51537d59,www.sgmlopen.org,1694.2443
"Which is better, a laptop or a desktop?",clueweb12-1913wb-30-36234,9fad4b53-2f15-5267-ba76-81cadd3c8741,www.coursestuff.co.uk,1676.9336
"Which is better, a laptop or a desktop?",clueweb12-1904wb-64-15725,1be5a578-3dc1-50bc-b34d-43129fa5c889,www.itdonut.co.uk,1675.6989
"Which is better, a laptop or a desktop?",clueweb12-0800wb-27-08034,ed9c95ce-51cc-510a-8fc3-606bd56fefd9,ghaziabad.quikr.com,1640.2158
"Which is better, a laptop or a desktop?",clueweb12-0800wb-27-08042,0c4789a1-4738-59c8-9d72-208c1eab88b4,ghaziabad.quikr.com,1526.7607
"Which is better, a laptop or a desktop?",clueweb12-0800wb-42-17380,eb7cac27-ee23-5a64-8aa5-8891ebc95747,ghaziabad.quikr.com,1511.6976
"Which is better, a laptop or a desktop?",clueweb12-0800wb-42-17390,aad8b354-378d-573f-8056-1eb56f9b715f,ghaziabad.quikr.com,1509.0055
"Which is better, a laptop or a desktop?",clueweb12-0800wb-42-17377,65952f79-c215-54b6-a00a-5cab1b0fd7e6,ghaziabad.quikr.com,1421.009
"Which is better, a laptop or a desktop?",clueweb12-0800wb-42-17392,e82d2353-c243-5822-8fde-842157a19e83,ghaziabad.quikr.com,1325.7976
"Which is better, a laptop or a desktop?",clueweb12-0800wb-27-08051,fcca9865-3a86-52df-9ba1-1fe322660c2a,ghaziabad.quikr.com,1305.5175
"Which is better, a laptop or a desktop?",clueweb12-1200tw-92-06441,824886a5-984e-59a6-b5da-2d756c56f7c9,notes.envato.com,1636.1565
"Which is better, a laptop or a desktop?",clueweb12-0001wb-15-04451,0b4954a6-eb79-509b-b01c-47f124f0f413,compreviews.about.com,1588.6569
"Which is better, a laptop or a desktop?",clueweb12-0203wb-58-00727,581e14dc-4248-5c2f-b8d0-3878dbad5e8c,www.linuxquestions.org,1518.0106
"Which is better, a laptop or a desktop?",clueweb12-1513wb-74-28160,89e28766-a906-5eb1-adc1-a69b20a0c006,www.mompreneursonline.com,1505.7705
"Which is better, a laptop or a desktop?",clueweb12-1804wb-84-01567,9a8f1358-380c-525a-8109-c0b3e4422431,www.savemysystem.co.uk,1504.5293
"Which is better, a laptop or a desktop?",clueweb12-0200wb-97-10905,839bf76f-76c3-5ede-b467-98220cdf4249,www.didimtoday.com,1491.9368
"Which is better, a laptop or a desktop?",clueweb12-1806wb-97-03726,c6e0f7aa-7c19-5672-bc5b-2dc5e56095c2,www.reviversoft.com,1490.5548
"Which is better, a laptop or a desktop?",clueweb12-0100tw-65-03421,3997983c-3cae-5500-810e-0c30b146a7e2,globalgoodgroup.com,1477.1879
"Which is better, a laptop or a desktop?",clueweb12-1414wb-82-03550,0d1f054c-5e10-52a4-9597-68c2872b9fc3,supportfordell.iyogi.com,1453.8855
"Which is better, a laptop or a desktop?",clueweb12-1510wb-85-09365,8bc056fb-c618-5221-8e38-ea248ac7b712,ostatic.com,1437.1533
"Which is better, a laptop or a desktop?",clueweb12-1511wb-08-16078,a77f0117-c2bb-544b-a7f0-4ba7f1df093a,ostatic.com,1434.0819
"Which is better, a laptop or a desktop?",clueweb12-0006wb-36-13364,69e3747c-c7b0-5d09-9b20-6de1ebd429fe,ostatic.com,1433.0146
"Which is better, a laptop or a desktop?",clueweb12-0802wb-59-26204,d07f49eb-ba19-5f19-8881-7f50973561e5,patna.quikr.com,1428.6808
"Which is better, a laptop or a desktop?",clueweb12-1002wb-75-11480,2dafd82e-90e2-5501-9d41-23a896ef2de9,moka5.com,1423.8458
"Which is better, a laptop or a desktop?",clueweb12-1115wb-77-24169,e9a7108a-1a02-53f6-8403-7d0a273b0746,www.moka5.com,1423.7842
"Which is better, a laptop or a desktop?",clueweb12-1006wb-20-06692,e1e4ff85-0d9f-557c-a7fc-85d55476d23b,www.mokafive.com,1422.7076
"Which is better, a laptop or a desktop?",clueweb12-1005wb-51-18027,d7b8fcdd-01f2-5887-a611-09beafba5afa,www.mokafive.com,1420.6418
"Which is better, a laptop or a desktop?",clueweb12-0904wb-41-13097,181a5bfa-36a5-5db5-b5bf-7b3bbb1975da,www.officenetworksusa.com,1415.5741
"Which is better, a laptop or a desktop?",clueweb12-0603wb-91-13413,7a3ed937-42cc-5100-bcdc-c1bef223531d,www.tomshardware.com,1387.1621
"Which is better, a laptop or a desktop?",clueweb12-0510wb-66-07212,03a3ea1e-6f32-57fa-b692-12397c742574,www.lineagechat.com,1384.727
"Which is better, a laptop or a desktop?",clueweb12-0510wb-43-25321,1c1dc7fd-8a85-53db-a361-96d25143a1ed,www.lineagechat.com,1384.5751
"Which is better, a laptop or a desktop?",clueweb12-1717wb-46-11634,4b069858-c421-554a-8898-632fb8a74844,h30458.www3.hp.com,1363.2169
"Which is better, a laptop or a desktop?",clueweb12-1716wb-73-00607,909a94c6-ff70-50ea-ba8c-8236ecbeca8a,h30458.www3.hp.com,1361.4409
"Which is better, a laptop or a desktop?",clueweb12-1311wb-88-33844,8e2a33ff-9f51-5cff-8a2e-c50aebfb8314,www.desktoplinux.com,1361.0677
"Which is better, a laptop or a desktop?",clueweb12-0000wb-83-09106,db272975-b385-5d0e-a999-9e188214c28b,desktoplinux.com,1359.5807
"Which is better, a laptop or a desktop?",clueweb12-1806wb-38-15621,d1e89e4c-cc42-5949-acf3-9cb522e8cb84,www.clickawaycomputer.com,1347.9594
"Which is better, a laptop or a desktop?",clueweb12-1502wb-12-02072,4aa9c1f5-3437-595c-bd98-a131380f14ef,toshiba-equium.createforum.co.uk,1343.9816
"Which is better, a laptop or a desktop?",clueweb12-0918wb-55-26984,6b3f53d6-31b6-5e79-801d-428bd33349ed,www.cashforlaptops.com,1336.1825
"Which is better, a laptop or a desktop?",clueweb12-0301wb-84-10147,8d498f77-74b7-54e7-ab83-6c8d50e5ab18,www.shop4laptop.com,1328.064
"Which is better, a laptop or a desktop?",clueweb12-0713wb-25-05652,6d047ed4-a642-5292-9a26-6d6b41abda42,thane.quikr.com,1323.5155
"Which is better, a laptop or a desktop?",clueweb12-1909wb-16-20468,ea223bef-32b4-5811-abb4-218b98243d88,www.lucidica.com,1321.9683
"Which is better, a laptop or a desktop?",clueweb12-0715wb-43-28955,c792caae-4448-555e-8de0-3d9354a3ea86,guwahati.quikr.com,1317.1996
"Which is better, a laptop or a desktop?",clueweb12-1608wb-75-25910,d59680f2-f99d-5d36-85b1-fa1dcac9127c,www.designisphilosophy.com,1310.269
"Which is better, a laptop or a desktop?",clueweb12-0717wb-16-16195,02b59616-116d-53ab-8414-885ef822bc3e,www.digitalcommunities.com,1301.2086
"Which is better, a laptop or a desktop?",clueweb12-1116wb-47-03983,f791436e-41ec-5316-ba81-ae15002eb3fd,www.windowsitpro.com,1301.1854
"Which is better, a laptop or a desktop?",clueweb12-0500wb-89-13049,5e0d8b6e-ed7f-5232-bb63-343be07e4377,www.cyberuse.com,1291.1598
"Which is better, a laptop or a desktop?",clueweb12-1508wb-99-22718,82b19538-1cbb-55fd-a039-5bd769a71534,linux.drivein-jim.net,1291.086
"Which is better, a laptop or a desktop?",clueweb12-1710wb-62-15432,36aa5aa6-1a3f-5001-a640-83d96c823302,www.spade.com,1290.9298
"Which is better, a laptop or a desktop?",clueweb12-0804wb-80-01673,fb0e63d8-5372-5323-a37e-75773cc29870,linuxgazette.berlios.de,1289.5044
"Which is better, a laptop or a desktop?",clueweb12-0410wb-33-35224,7730d674-28fb-5ad4-ba51-ff3be484ffff,www.amtsoftware.com,1286.2205
"Which is better, a laptop or a desktop?",clueweb12-0108wb-87-13787,3d963cd7-8c52-567c-a498-d791abde08a1,www.gpsoftware.com,1285.9098
"Which is better, a laptop or a desktop?",clueweb12-1705wb-29-32257,5f4d6589-566d-54a9-b9bf-64345a882894,www.pbcentral.com,1279.3096
"Which is better, a laptop or a desktop?",clueweb12-1416wb-50-06592,da85dbb9-0924-5c52-9951-d511729b8ac1,www.adamok.net,1269.9255
"Which is better, a laptop or a desktop?",clueweb12-1312wb-33-11150,286798da-85ea-55a7-8e74-553c07e5138e,www.crutchfield.com,1260.8107
"Which is better, a laptop or a desktop?",clueweb12-0703wb-24-12472,266607e0-e994-5234-9955-dc62b6ffe0ea,www.ridgidforum.com,1258.3905
"Which is better, a laptop or a desktop?",clueweb12-0205wb-28-18613,1eb8d037-31ab-5f98-a34f-399549038f2c,www.pcmag.com,1254.266
"Which is better, a laptop or a desktop?",clueweb12-0700tw-29-19636,35103656-3153-515c-be3b-03faa3c75dc3,www.computerworld.com,1242.1029
"Which is better, a laptop or a desktop?",clueweb12-0004wb-25-32367,699c8aae-72b7-5586-b42f-7c543c0b4cb0,mobileoffice.about.com,1237.2086
"Which is better, a laptop or a desktop?",clueweb12-0205wb-35-01034,f7d51860-33ab-5760-838a-9deaa2dca612,www.notebooksgalore.com.au,1236.8499
"Which is better, a laptop or a desktop?",clueweb12-0013wb-19-15392,1ab3ff39-8fd6-5faa-83c4-76b24530e424,www.australia.edu,1234.2915
"Which is better, a laptop or a desktop?",clueweb12-1708wb-69-20317,7adeb3e4-9ebe-52b3-adb1-c371d0d2ae20,www.trustedchoice.com,1230.6884
"Which is better, a laptop or a desktop?",clueweb12-0106wb-55-34754,4173e9ff-b766-5c4f-b0f2-9c243ccaee33,www.driversdailylog.com,1227.6871
"Which is better, a laptop or a desktop?",clueweb12-1612wb-49-30112,19ec51d4-8a18-5105-bca1-6a9731a9624f,windows.uwaterloo.ca,1227.5001
"Which is better, a laptop or a desktop?",clueweb12-0200wb-70-31337,20636223-0149-51b6-bef4-846a8daeedc9,www.laptoprepair.co.uk,1224.615
"Which is better, a laptop or a desktop?",clueweb12-0916wb-70-17410,7079119e-50f4-596c-a368-00079cbcbb72,inklink.blogs.com,1223.1145
"Which is better, a laptop or a desktop?",clueweb12-0914wb-47-04648,16a1fe8e-2c94-51fb-9b0b-3907c5599e96,inklink.blogs.com,1222.8782
"Which is better, a laptop or a desktop?",clueweb12-0916wb-70-17404,3a9782c4-2b60-5fe1-894e-ec363792b5ab,inklink.blogs.com,1222.8782
"Which is better, a laptop or a desktop?",clueweb12-0916wb-70-17408,c0b67d6f-5fec-5bcd-b327-61d4c2d52216,inklink.blogs.com,1222.4895
"Which is better, a laptop or a desktop?",clueweb12-0916wb-79-20931,05e84413-e9ca-58a1-98ba-a1949975dee2,inklink.blogs.com,1222.307
"Which is better, a laptop or a desktop?",clueweb12-0916wb-70-17409,cad8cddc-a476-5859-8d47-f6820c468b2f,inklink.blogs.com,1222.2938
"Which is better, a laptop or a desktop?",clueweb12-0916wb-70-17406,fcfec244-cd6f-54da-91f7-be6c31bd1d3a,inklink.blogs.com,1222.2938
"Which is better, a laptop or a desktop?",clueweb12-0916wb-70-17412,6e2c36e9-ef32-5a61-9ebf-0ff98c2b2786,inklink.blogs.com,1222.2361
"Which is better, a laptop or a desktop?",clueweb12-0916wb-79-20932,095cabaf-c5ca-5da3-a078-c56718afd11a,inklink.blogs.com,1222.2135
"Which is better, a laptop or a desktop?",clueweb12-0916wb-79-20936,5e8143d0-be1b-5289-9156-36d0ac46642f,inklink.blogs.com,1222.194
"Which is better, a laptop or a desktop?",clueweb12-0916wb-79-20930,e9f6b513-20f3-5060-bc4d-303f7a6e54d2,inklink.blogs.com,1222.194
